label,rundir,ckpt,suite,task,pc_success,n_episodes,eval_s,eval_ep_s,status,timestamp
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,3,90.0,10,798.718834400177,79.87188348770141,done,2026-07-11 16:16:09
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,2,100.0,10,879.1512160301208,87.9151216506958,done,2026-07-11 16:17:30
pred025,roi_predict_keep050_fv025_l09,012000,libero_10,8,80.0,10,1187.9044737815857,118.79044744968414,done,2026-07-11 16:22:38
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,0,100.0,10,585.8335649967194,58.58335657119751,done,2026-07-11 15:07:50
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,7,100.0,10,650.1962647438049,65.01962654590606,done,2026-07-11 15:08:54
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,3,100.0,10,673.1827163696289,67.3182716846466,done,2026-07-11 15:09:17
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,2,100.0,10,699.3061797618866,69.93061804771423,done,2026-07-11 15:09:43
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,5,80.0,10,777.4075446128845,77.74075453281402,done,2026-07-11 15:11:01
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,6,100.0,10,832.0884754657745,83.20884759426117,done,2026-07-11 15:11:56
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,4,100.0,10,856.6178855895996,85.6617886543274,done,2026-07-11 15:12:20
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,1,90.0,10,914.8533000946045,91.48533008098602,done,2026-07-11 15:13:18
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,4,100.0,10,450.72755789756775,45.07275583744049,done,2026-07-11 15:23:01
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,3,100.0,10,528.1428256034851,52.81428260803223,done,2026-07-11 15:24:18
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,5,100.0,10,528.5451362133026,52.854513716697696,done,2026-07-11 15:24:19
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,2,100.0,10,600.1349334716797,60.01349341869354,done,2026-07-11 15:25:30
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,8,100.0,10,621.4798219203949,62.147982239723206,done,2026-07-11 15:25:52
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,0,90.0,10,626.4896380901337,62.64896388053894,done,2026-07-11 15:25:57
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,1,100.0,10,652.0634870529175,65.20634875297546,done,2026-07-11 15:26:23
pred050,roi_predict_keep050_fv050_l03,012000,libero_spatial,9,100.0,10,710.7214024066925,71.07214033603668,done,2026-07-11 15:27:21
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,6,100.0,10,356.6347301006317,35.663473105430604,done,2026-07-11 15:35:29
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,9,100.0,10,396.16464352607727,39.6164644241333,done,2026-07-11 15:36:09
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,2,100.0,10,492.1821541786194,49.21821551322937,done,2026-07-11 15:37:44
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,7,100.0,10,494.669401884079,49.46694025993347,done,2026-07-11 15:37:47
pred050,roi_predict_keep050_fv050_l03,012000,libero_object,8,100.0,10,560.7873337268829,56.078733468055724,done,2026-07-11 15:38:54
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,1,100.0,10,598.3737227916718,59.83737237453461,done,2026-07-11 15:39:30
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,0,100.0,10,605.4838118553162,60.54838125705719,done,2026-07-11 15:39:38
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,3,100.0,10,740.7879312038422,74.07879321575165,done,2026-07-11 15:41:54
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,4,100.0,10,444.22645115852356,44.42264518737793,done,2026-07-11 15:51:30
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,8,100.0,10,468.8801894187927,46.88801903724671,done,2026-07-11 15:51:54
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,9,100.0,10,519.7816023826599,51.97816030979156,done,2026-07-11 15:52:46
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,7,100.0,10,529.4947774410248,52.94947783946991,done,2026-07-11 15:52:56
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,6,100.0,10,601.0674579143524,60.106745910644534,done,2026-07-11 15:54:06
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,1,100.0,10,798.3287496566772,79.8328750371933,done,2026-07-11 15:57:24
pred050,roi_predict_keep050_fv050_l03,012000,libero_goal,5,100.0,10,805.1604042053223,80.5160404920578,done,2026-07-11 15:57:32
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,0,100.0,10,831.2005245685577,83.12005252838135,done,2026-07-11 15:57:58
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,6,90.0,10,505.34780764579773,50.534780859947205,done,2026-07-11 16:08:35
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,4,100.0,10,513.71266746521,51.37126677036285,done,2026-07-11 16:08:43
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,5,100.0,10,559.6037631034851,55.960376381874084,done,2026-07-11 16:09:29
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,7,100.0,10,610.3050870895386,61.030508804321286,done,2026-07-11 16:10:20
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,3,100.0,10,679.3720283508301,67.93720290660858,done,2026-07-11 16:11:29
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,9,70.0,10,728.3773221969604,72.83773226737976,done,2026-07-11 16:12:19
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,2,100.0,10,862.8468735218048,86.28468744754791,done,2026-07-11 16:14:32
pred050,roi_predict_keep050_fv050_l03,012000,libero_10,8,80.0,10,1101.74857711792,110.17485778331756,done,2026-07-11 16:18:29
